Time (min),Abs
6.741979122,-0.886285901
6.742187023,-0.890652716
6.742395878,-0.890430093
6.742604256,-0.889549911
6.742812157,-0.889826477
6.743021011,-0.889147222
6.743228912,-0.889715493
6.74343729,-0.889001906
6.743646145,-0.889562547
6.743854046,-0.889807642
6.744062424,-0.888918161
6.744270325,-0.889406681
6.744479179,-0.890351534
6.744687557,-0.890023828
6.744895458,-0.889003396
6.745104313,-0.889989018
6.745312214,-0.88796407
6.745520592,-0.889229238
6.745729446,-0.889402151
6.745937347,-0.889955759
6.746145725,-0.889211536
6.746353626,-0.890376151
6.746562481,-0.889545798
6.746770859,-0.890570343
6.74697876,-0.889634252
6.747187614,-0.889909625
6.747395515,-0.889895678
6.747603893,-0.889955163
6.747812748,-0.889469326
6.748020649,-0.890304625
6.748229027,-0.889116466
6.748437405,-0.889250279
6.748645782,-0.89043349
6.74885416,-0.888777077
6.749062061,-0.888999641
6.749270916,-0.88975507
6.749478817,-0.889935255
6.749687195,-0.889625549
6.749896049,-0.888899326
6.750103951,-0.888529778
6.750312328,-0.885403335
6.750520706,-0.890480638
6.750729084,-0.889096081
6.750937462,-0.887277484
6.75114584,-0.889730752
6.751354218,-0.88937664
6.751562119,-0.890271604
6.751770496,-0.889819086
6.751979351,-0.889554858
6.752187252,-0.890191078
6.75239563,-0.889384687
6.752604008,-0.889746785
6.752812386,-0.889664888
6.753020763,-0.88864857
6.753229141,-0.889982343
6.753437519,-0.888409317
6.75364542,-0.890071094
6.753854275,-0.890152931
6.754062653,-0.885434389
6.754270554,-0.888878644
6.754478931,-0.888418853
6.754687309,-0.889282107
6.754895687,-0.890188098
6.755104065,-0.890159369
6.755312443,-0.890498281
6.755520821,-0.890775979
6.755728722,-0.890101314
6.755937576,-0.889712215
6.756145954,-0.888088167
6.756353855,-0.889643133
6.75656271,-0.887993634
6.756770611,-0.889517725
6.756978989,-0.889069319
6.757187366,-0.888666153
6.757395744,-0.89038676
6.757604122,-0.887990594
6.757812023,-0.889473558
6.758020878,-0.887167096
6.758229256,-0.889415562
6.758437157,-0.888930917
6.758646011,-0.889498293
6.758853912,-0.889573932
6.75906229,-0.88956821
6.759271145,-0.889786303
6.759479046,-0.888600826
6.759687424,-0.889196813
6.759895325,-0.889526904
6.760104179,-0.889766216
6.760312557,-0.890981019
6.760520458,-0.890713096
6.760729313,-0.890762448
6.760937214,-0.889791131
6.761145592,-0.889562786
6.761354446,-0.888905525
6.761562347,-0.889487684
6.761770725,-0.887302339
6.761978626,-0.890091002
6.762187481,-0.889433146
6.762395859,-0.889748395
6.76260376,-0.890159488
6.762812614,-0.889878571
6.763020515,-0.885288894
6.763228893,-0.889506936
6.763437748,-0.888512313
6.763645649,-0.88958925
6.763854027,-0.888882041
6.764062405,-0.890062213
6.764270782,-0.888991952
6.76447916,-0.889361799
6.764687061,-0.889544547
6.764895916,-0.890468299
6.765103817,-0.889088094
6.765312195,-0.89019829
6.765521049,-0.888756514
6.765728951,-0.889661551
6.765937328,-0.888511479
6.766145706,-0.889856875
6.766354084,-0.888858736
6.766562462,-0.889924765
6.76677084,-0.889468253
6.766979218,-0.889540017
6.767187119,-0.890280008
6.767395496,-0.890878558
6.767604351,-0.887930214
6.767812252,-0.889701486
6.76802063,-0.88958931
6.768229008,-0.888838112
6.768437386,-0.889212191
6.768645763,-0.889035404
6.768854141,-0.88864243
